PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,93020500,mv,ARITHMETIC,"t0, a0",0x0,0xdd4,0x7ff3ced4,0x0,0x0,0xe7cb30e9,0x9e80a68b,0xfacd5b87,0x0,0x0,0xb3db05e5,0x19560c35,0x3d0204a8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc98,13830500,mv,ARITHMETIC,"t1, a1",0x0,0xdd4,0x7ff3ced4,0x0,0x0,0xb3db05e5,0x9e80a68b,0xfacd5b87,0x0,0x0,0xb3db05e5,0x19560c35,0x3d0204a8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc9c,93030600,mv,ARITHMETIC,"t2, a2",0x0,0xdd4,0x7ff3ced4,0x0,0x0,0xb3db05e5,0x19560c35,0xfacd5b87,0x0,0x0,0xb3db05e5,0x19560c35,0x3d0204a8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca0,b3c27200,xor,LOGICAL,"t0, t0, t2",0x0,0xdd4,0x7ff3ced4,0x0,0x0,0xb3db05e5,0x19560c35,0x3d0204a8,0x0,0x0,0xb3db05e5,0x19560c35,0x3d0204a8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca4,33437300,xor,LOGICAL,"t1, t1, t2",0x0,0xdd4,0x7ff3ced4,0x0,0x0,0x8ed9014d,0x19560c35,0x3d0204a8,0x0,0x0,0xb3db05e5,0x19560c35,0x3d0204a8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca8,13850200,mv,ARITHMETIC,"a0, t0",0x0,0xdd4,0x7ff3ced4,0x0,0x0,0x8ed9014d,0x2454089d,0x3d0204a8,0x0,0x0,0xb3db05e5,0x19560c35,0x3d0204a8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcac,93050300,mv,ARITHMETIC,"a1, t1",0x0,0xdd4,0x7ff3ced4,0x0,0x0,0x8ed9014d,0x2454089d,0x3d0204a8,0x0,0x0,0x8ed9014d,0x19560c35,0x3d0204a8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb0,67800000,ret,UBRANCH,,0x0,0xdd4,0x7ff3ced4,0x0,0x0,0x8ed9014d,0x2454089d,0x3d0204a8,0x0,0x0,0x8ed9014d,0x2454089d,0x3d0204a8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
