PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,93020500,mv,ARITHMETIC,"t0, a0",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x7d0a96b7,0x41080042,0x499da942,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008175,0x59008075
0xc98,13830500,mv,ARITHMETIC,"t1, a1",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0xf831dddc,0x41080042,0x499da942,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008175,0x59008075
0xc9c,93030600,mv,ARITHMETIC,"t2, a2",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0xf831dddc,0xed8f473,0x499da942,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008175,0x59008075
0xca0,138e0600,mv,ARITHMETIC,"t3, a3",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008175,0x59008075
0xca4,930e0700,mv,ARITHMETIC,"t4, a4",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x42e338a0,0x37,0x8008175,0x59008075
0xca8,33ff7200,and,LOGICAL,"t5, t0, t2",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x42e338a0,0x37,0x8008175,0x59008075
0xcac,b37fc301,and,LOGICAL,"t6, t1, t3",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x42e338a0,0x37,0xb8201510,0x59008075
0xcb0,b3f2c201,and,LOGICAL,"t0, t0, t3",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x42e338a0,0x37,0xb8201510,0x2c03020
0xcb4,33737300,and,LOGICAL,"t1, t1, t2",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x40211880,0xed8f473,0xbd2c1710,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x42e338a0,0x37,0xb8201510,0x2c03020
0xcb8,b3c26200,xor,LOGICAL,"t0, t0, t1",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x40211880,0xc081410,0xbd2c1710,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x42e338a0,0x37,0xb8201510,0x2c03020
0xcbc,b3c2d201,xor,LOGICAL,"t0, t0, t4",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x4c290c90,0xc081410,0xbd2c1710,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x42e338a0,0x37,0xb8201510,0x2c03020
0xcc0,334fdf01,xor,LOGICAL,"t5, t5, t4",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x4c290ca7,0xc081410,0xbd2c1710,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x42e338a0,0x37,0xb8201510,0x2c03020
0xcc4,b3cf5f00,xor,LOGICAL,"t6, t6, t0",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x4c290ca7,0xc081410,0xbd2c1710,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x42e338a0,0x37,0xb8201527,0x2c03020
0xcc8,13050f00,mv,ARITHMETIC,"a0, t5",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x4c290ca7,0xc081410,0xbd2c1710,0x0,0x0,0xf831dddc,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x42e338a0,0x37,0xb8201527,0x4ee93c87
0xccc,93850f00,mv,ARITHMETIC,"a1, t6",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x4c290ca7,0xc081410,0xbd2c1710,0x0,0x0,0xb8201527,0xed8f473,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x42e338a0,0x37,0xb8201527,0x4ee93c87
0xcd0,67800000,ret,UBRANCH,,0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x4c290ca7,0xc081410,0xbd2c1710,0x0,0x0,0xb8201527,0x4ee93c87,0xbd2c1710,0x42e338a0,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x42e338a0,0x37,0xb8201527,0x4ee93c87
