PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,130101ff,addi,ARITHMETIC,"sp, sp, -0x10",0x0,0xe74,0x7ff3cee4,0x0,0x0,0x8cf0a03b,0xc901800,0x1e9019e4,0x0,0x0,0x8218af98,0x43d41cfc,0x7898367f,0x836a41a3,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xad70b8bc,0x37,0x12801973,0x2080b83b
0xc98,2320a100,sw,STORE,"a0, 0(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x8cf0a03b,0xc901800,0x1e9019e4,0x0,0x0,0x8218af98,0x43d41cfc,0x7898367f,0x836a41a3,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xad70b8bc,0x37,0x12801973,0x2080b83b
0xc9c,2322b100,sw,STORE,"a1, 4(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x8cf0a03b,0xc901800,0x1e9019e4,0x0,0x0,0x8218af98,0x43d41cfc,0x7898367f,0x836a41a3,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xad70b8bc,0x37,0x12801973,0x2080b83b
0xca0,2324c100,sw,STORE,"a2, 8(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x8cf0a03b,0xc901800,0x1e9019e4,0x0,0x0,0x8218af98,0x43d41cfc,0x7898367f,0x836a41a3,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xad70b8bc,0x37,0x12801973,0x2080b83b
0xca4,2326d100,sw,STORE,"a3, 0xc(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x8cf0a03b,0xc901800,0x1e9019e4,0x0,0x0,0x8218af98,0x43d41cfc,0x7898367f,0x836a41a3,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xad70b8bc,0x37,0x12801973,0x2080b83b
0xca8,83220100,lw,LOAD,"t0, 0(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x8cf0a03b,0xc901800,0x1e9019e4,0x0,0x0,0x8218af98,0x43d41cfc,0x7898367f,0x836a41a3,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xad70b8bc,0x37,0x12801973,0x2080b83b
0xcac,03234100,lw,LOAD,"t1, 4(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x8218af98,0xc901800,0x1e9019e4,0x0,0x0,0x8218af98,0x43d41cfc,0x7898367f,0x836a41a3,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xad70b8bc,0x37,0x12801973,0x2080b83b
0xcb0,83238100,lw,LOAD,"t2, 8(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x8218af98,0x43d41cfc,0x1e9019e4,0x0,0x0,0x8218af98,0x43d41cfc,0x7898367f,0x836a41a3,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xad70b8bc,0x37,0x12801973,0x2080b83b
0xcb4,032ec100,lw,LOAD,"t3, 0xc(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x8218af98,0x43d41cfc,0x7898367f,0x0,0x0,0x8218af98,0x43d41cfc,0x7898367f,0x836a41a3,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xad70b8bc,0x37,0x12801973,0x2080b83b
0xcb8,930e0700,mv,ARITHMETIC,"t4, a4",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x8218af98,0x43d41cfc,0x7898367f,0x0,0x0,0x8218af98,0x43d41cfc,0x7898367f,0x836a41a3,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x836a41a3,0x37,0x12801973,0x2080b83b
